nome;estrelas;criado_em;atualizado_em;idade_anos;linguagem;pull_requests_aceitas;total_releases;total_issues;issues_fechadas;razao_issues_fechadas;dias_desde_atualizacao
JushBJJ/Mr.-Ranedeer-AI-Tutor;29694;2023-03-31;2026-02-28;2.92;(não detectada);0;3;48;34;0.7083;0
wshobson/agents;29685;2025-07-24;2026-02-28;0.60;Python;53;0;54;53;0.9815;0
iced-rs/iced;29670;2019-07-15;2026-02-28;6.63;Rust;1158;18;1306;960;0.7351;0
openssl/openssl;29649;2013-01-15;2026-02-28;13.12;C;145;297;11156;9955;0.8923;0
vuejs/vue-cli;29639;2015-12-26;2026-02-26;10.18;JavaScript;1259;178;5501;4564;0.8297;2
sampotts/plyr;29617;2015-02-14;2026-02-28;11.04;JavaScript;393;93;2116;1225;0.5789;0
alibaba/canal;29615;2013-01-13;2026-02-28;13.13;Java;479;32;4785;3614;0.7553;0
nvim-lua/kickstart.nvim;29612;2022-06-24;2026-02-28;3.68;Lua;265;0;664;633;0.9533;0
aosabook/500lines;29600;2013-11-04;2026-02-28;12.32;JavaScript;175;0;70;41;0.5857;0
qarmin/czkawka;29567;2020-09-01;2026-02-28;5.49;Rust;468;40;1106;692;0.6257;0
helm/helm;29559;2015-10-05;2026-02-28;10.40;Go;4436;237;8358;8094;0.9684;0
react-boilerplate/react-boilerplate;29546;2015-02-18;2026-02-28;11.03;JavaScript;715;16;1909;1823;0.9550;0
nginx/nginx;29539;2015-06-23;2026-02-28;10.69;C;155;14;472;250;0.5297;0
realpython/python-guide;29526;2011-03-15;2026-02-28;14.96;Batchfile;683;0;281;181;0.6441;0
elsewhencode/project-guidelines;29519;2017-06-30;2026-02-28;8.67;JavaScript;114;0;39;29;0.7436;0
bigint/hey;29504;2022-03-19;2026-02-28;3.95;TypeScript;3793;0;0;0;0;0
filamentphp/filament;29502;2020-03-18;2026-02-28;5.95;PHP;5778;817;3312;3293;0.9943;0
