scenario_id;scenario_name;treatment;trial;execution_order;elapsed_ms;response_bytes;checksum
Q1;Lista de repositorios;REST;58;1078;0.138458;21239;344598052
Q1;Lista de repositorios;REST;59;377;0.138166;21239;344598052
Q1;Lista de repositorios;REST;60;124;0.138458;21239;344598052
Q1;Lista de repositorios;REST;61;761;0.138084;21239;344598052
Q1;Lista de repositorios;REST;62;635;0.140500;21239;344598052
Q1;Lista de repositorios;REST;63;927;0.137667;21239;344598052
Q1;Lista de repositorios;REST;64;641;0.141875;21239;344598052
Q1;Lista de repositorios;REST;65;13;0.142833;21239;344598052
Q1;Lista de repositorios;REST;66;964;0.136291;21239;344598052
Q1;Lista de repositorios;REST;67;182;0.143166;21239;344598052
Q1;Lista de repositorios;REST;68;242;0.139500;21239;344598052
Q1;Lista de repositorios;REST;69;973;0.138375;21239;344598052
Q1;Lista de repositorios;REST;70;852;0.138125;21239;344598052
Q1;Lista de repositorios;REST;71;1081;0.137750;21239;344598052
Q1;Lista de repositorios;REST;72;364;0.207875;21239;344598052
Q1;Lista de repositorios;REST;73;43;0.138208;21239;344598052
Q1;Lista de repositorios;REST;74;1126;0.140125;21239;344598052
Q1;Lista de repositorios;REST;75;511;0.138875;21239;344598052
Q1;Lista de repositorios;REST;76;83;0.136958;21239;344598052
Q1;Lista de repositorios;REST;77;425;0.137750;21239;344598052
Q1;Lista de repositorios;REST;78;337;0.137375;21239;344598052
Q1;Lista de repositorios;REST;79;560;0.138084;21239;344598052
Q1;Lista de repositorios;REST;80;960;0.135916;21239;344598052
Q1;Lista de repositorios;REST;81;923;0.138084;21239;344598052
Q1;Lista de repositorios;REST;82;427;0.136583;21239;344598052
Q1;Lista de repositorios;REST;83;548;0.138667;21239;344598052
Q1;Lista de repositorios;REST;84;32;0.137042;21239;344598052
Q1;Lista de repositorios;REST;85;959;0.137125;21239;344598052
Q1;Lista de repositorios;REST;86;1102;0.137708;21239;344598052
Q1;Lista de repositorios;REST;87;1092;0.137042;21239;344598052
Q1;Lista de repositorios;REST;88;498;0.142500;21239;344598052
Q1;Lista de repositorios;REST;89;1190;0.139958;21239;344598052
Q1;Lista de repositorios;REST;90;1075;0.141250;21239;344598052
Q1;Lista de repositorios;REST;91;877;0.138709;21239;344598052
Q1;Lista de repositorios;REST;92;1116;0.137125;21239;344598052
Q1;Lista de repositorios;REST;93;370;0.138041;21239;344598052
Q1;Lista de repositorios;REST;94;40;0.141791;21239;344598052
Q1;Lista de repositorios;REST;95;694;0.137500;21239;344598052
Q1;Lista de repositorios;REST;96;1141;0.137417;21239;344598052
Q1;Lista de repositorios;REST;97;919;0.138250;21239;344598052
Q1;Lista de repositorios;REST;98;241;0.148583;21239;344598052
Q1;Lista de repositorios;REST;99;650;0.138375;21239;344598052
Q1;Lista de repositorios;REST;100;619;0.138292;21239;344598052
Q1;Lista de repositorios;REST;101;669;0.137292;21239;344598052
Q1;Lista de repositorios;REST;102;1063;0.137125;21239;344598052
Q1;Lista de repositorios;REST;103;1009;0.136333;21239;344598052
Q1;Lista de repositorios;REST;104;298;0.138041;21239;344598052
Q1;Lista de repositorios;REST;105;657;0.138083;21239;344598052
Q1;Lista de repositorios;REST;106;226;0.141500;21239;344598052
Q1;Lista de repositorios;REST;107;1193;0.136792;21239;344598052
Q1;Lista de repositorios;REST;108;476;0.137583;21239;344598052
Q1;Lista de repositorios;REST;109;763;0.137292;21239;344598052
Q1;Lista de repositorios;REST;110;504;0.141917;21239;344598052
Q1;Lista de repositorios;REST;111;333;0.137792;21239;344598052
Q1;Lista de repositorios;REST;112;748;0.138500;21239;344598052
Q1;Lista de repositorios;REST;113;1127;0.146541;21239;344598052
Q1;Lista de repositorios;REST;114;327;0.137958;21239;344598052
Q1;Lista de repositorios;REST;115;1038;0.138042;21239;344598052
Q1;Lista de repositorios;REST;116;59;0.138375;21239;344598052
Q1;Lista de repositorios;REST;117;276;0.137625;21239;344598052
Q1;Lista de repositorios;REST;118;949;0.137584;21239;344598052
Q1;Lista de repositorios;REST;119;311;0.138375;21239;344598052
Q1;Lista de repositorios;REST;120;1124;0.137875;21239;344598052
Q2;Detalhe do repositorio;GraphQL;1;862;0.003375;185;171050203
Q2;Detalhe do repositorio;GraphQL;2;780;0.003166;185;171050203
Q2;Detalhe do repositorio;GraphQL;3;1199;0.003541;185;171050203
Q2;Detalhe do repositorio;GraphQL;4;936;0.003291;185;171050203
Q2;Detalhe do repositorio;GraphQL;5;770;0.002709;185;171050203
Q2;Detalhe do repositorio;GraphQL;6;1072;0.004458;185;171050203
Q2;Detalhe do repositorio;GraphQL;7;582;0.002958;185;171050203
Q2;Detalhe do repositorio;GraphQL;8;371;0.003375;185;171050203
Q2;Detalhe do repositorio;GraphQL;9;1151;0.003500;185;171050203
Q2;Detalhe do repositorio;GraphQL;10;219;0.003334;185;171050203
Q2;Detalhe do repositorio;GraphQL;11;30;0.003583;185;171050203
Q2;Detalhe do repositorio;GraphQL;12;117;0.003166;185;171050203
Q2;Detalhe do repositorio;GraphQL;13;647;0.003750;185;171050203
Q2;Detalhe do repositorio;GraphQL;14;366;0.004750;185;171050203
Q2;Detalhe do repositorio;GraphQL;15;235;0.003458;185;171050203
Q2;Detalhe do repositorio;GraphQL;16;178;0.003584;185;171050203
Q2;Detalhe do repositorio;GraphQL;17;404;0.003167;185;171050203
Q2;Detalhe do repositorio;GraphQL;18;17;0.009917;185;171050203
Q2;Detalhe do repositorio;GraphQL;19;826;0.003416;185;171050203
Q2;Detalhe do repositorio;GraphQL;20;120;0.003083;185;171050203
Q2;Detalhe do repositorio;GraphQL;21;200;0.005375;185;171050203
Q2;Detalhe do repositorio;GraphQL;22;301;0.003208;185;171050203
Q2;Detalhe do repositorio;GraphQL;23;165;0.003417;185;171050203
Q2;Detalhe do repositorio;GraphQL;24;431;0.003375;185;171050203
Q2;Detalhe do repositorio;GraphQL;25;436;0.003167;185;171050203
Q2;Detalhe do repositorio;GraphQL;26;453;0.003750;185;171050203
Q2;Detalhe do repositorio;GraphQL;27;806;0.003500;185;171050203
Q2;Detalhe do repositorio;GraphQL;28;533;0.003166;185;171050203
Q2;Detalhe do repositorio;GraphQL;29;55;0.003500;185;171050203
Q2;Detalhe do repositorio;GraphQL;30;332;0.003334;185;171050203
Q2;Detalhe do repositorio;GraphQL;31;916;0.003166;185;171050203
Q2;Detalhe do repositorio;GraphQL;32;547;0.003042;185;171050203
Q2;Detalhe do repositorio;GraphQL;33;390;0.003333;185;171050203
Q2;Detalhe do repositorio;GraphQL;34;1111;0.003708;185;171050203
