cwe_id,cves_count,cvss_medio,quadrante,score_risco,high_critical_pct,rank_freq,rank_severity,cwe_nome_curto,cwe_label,faixa_risco,in_top10_risco,quadrante_ordem
CWE-126,397,6.88,Frequente,0.0066,60.71,85,391,CWE-126,CWE-126,Moderado/Baixo,False,3
CWE-384,369,7.33,Frequente,0.0066,60.7,88,260,CWE-384,CWE-384,Moderado/Baixo,False,3
CWE-80,451,5.86,Frequente,0.0064,11.09,75,649,CWE-80,CWE-80,Moderado/Baixo,False,3
CWE-254,414,6.35,Frequente,0.0064,39.86,82,547,CWE-254,CWE-254,Moderado/Baixo,False,3
CWE-693,370,6.88,Frequente,0.0062,49.19,87,392,CWE-693,CWE-693,Moderado/Baixo,False,3
CWE-23,350,7.24,Frequente,0.0062,61.71,93,280,CWE-23,CWE-23,Moderado/Baixo,False,3
CWE-1333,368,6.84,Frequente,0.0061,63.59,89,410,CWE-1333,CWE-1333,Moderado/Baixo,False,3
CWE-330,343,7.17,Frequente,0.006,58.02,95,305,CWE-330,CWE-330,Moderado/Baixo,False,3
CWE-369,403,6.09,Frequente,0.006,21.34,84,601,CWE-369,CWE-369,Moderado/Baixo,False,3
CWE-116,347,6.88,Frequente,0.0058,47.55,94,393,CWE-116,CWE-116,Moderado/Baixo,False,3
CWE-88,282,7.84,Dupla Ameaca,0.0054,74.47,101,107,CWE-88,CWE-88,Moderado/Baixo,False,1
CWE-73,304,7.24,Frequente,0.0053,59.54,100,281,CWE-73,CWE-73,Moderado/Baixo,False,3
CWE-665,338,6.5,Frequente,0.0053,44.97,96,515,CWE-665,CWE-665,Moderado/Baixo,False,3
CWE-281,315,6.87,Frequente,0.0053,57.14,98,399,CWE-281,CWE-281,Moderado/Baixo,False,3
CWE-1021,361,5.98,Frequente,0.0052,25.48,91,630,CWE-1021,CWE-1021,Moderado/Baixo,False,3
CWE-674,325,6.62,Frequente,0.0052,49.23,97,470,CWE-674,CWE-674,Moderado/Baixo,False,3
CWE-1236,274,7.81,Dupla Ameaca,0.0052,76.64,103,111,CWE-1236,CWE-1236,Moderado/Baixo,False,1
CWE-922,358,5.87,Frequente,0.0051,27.37,92,648,CWE-922,CWE-922,Moderado/Baixo,False,3
CWE-250,265,7.76,Dupla Ameaca,0.005,78.11,104,127,CWE-250,CWE-250,Moderado/Baixo,False,1
CWE-444,277,7.2,Frequente,0.0048,58.84,102,297,CWE-444,CWE-444,Moderado/Baixo,False,3
CWE-16,315,6.3,Frequente,0.0048,40.63,99,554,CWE-16,CWE-16,Moderado/Baixo,False,3
CWE-704,244,8.07,Dupla Ameaca,0.0048,86.89,108,74,CWE-704,CWE-704,Moderado/Baixo,False,1
CWE-521,243,7.93,Dupla Ameaca,0.0047,73.66,109,91,CWE-521,CWE-521,Moderado/Baixo,False,1
CWE-824,264,7.2,Frequente,0.0046,68.94,105,289,CWE-824,CWE-824,Moderado/Baixo,False,3
CWE-428,248,7.5,Frequente,0.0045,76.61,107,191,CWE-428,CWE-428,Moderado/Baixo,False,3
CWE-640,231,8.0,Dupla Ameaca,0.0045,77.49,113,80,CWE-640,CWE-640,Moderado/Baixo,False,1
CWE-1188,232,7.7,Dupla Ameaca,0.0043,67.67,112,143,CWE-1188,CWE-1188,Moderado/Baixo,False,1
CWE-321,230,7.21,Frequente,0.004,59.13,115,288,CWE-321,CWE-321,Moderado/Baixo,False,3
CWE-19,233,7.06,Frequente,0.004,60.52,111,338,CWE-19,CWE-19,Moderado/Baixo,False,3
CWE-1284,236,6.83,Frequente,0.0039,54.24,110,413,CWE-1284,CWE-1284,Moderado/Baixo,False,3
CWE-707,229,6.78,Frequente,0.0038,31.44,116,425,CWE-707,CWE-707,Moderado/Baixo,False,3
CWE-917,173,8.92,Dupla Ameaca,0.0037,94.22,124,20,CWE-917,CWE-917,Moderado/Baixo,False,1
CWE-497,253,5.76,Frequente,0.0035,22.13,106,660,CWE-497,CWE-497,Moderado/Baixo,False,3
CWE-829,184,7.89,Dupla Ameaca,0.0035,77.72,120,97,CWE-829,CWE-829,Moderado/Baixo,False,1
CWE-201,231,6.17,Frequente,0.0035,30.74,114,584,CWE-201,CWE-201,Moderado/Baixo,False,3
CWE-425,208,6.83,Frequente,0.0034,50.0,118,414,CWE-425,CWE-425,Moderado/Baixo,False,3
CWE-294,187,7.5,Frequente,0.0034,67.38,119,192,CWE-294,CWE-294,Moderado/Baixo,False,3
CWE-610,209,6.67,Frequente,0.0034,50.72,117,459,CWE-610,CWE-610,Moderado/Baixo,False,3
CWE-494,177,7.81,Dupla Ameaca,0.0034,77.97,121,109,CWE-494,CWE-494,Moderado/Baixo,False,1
CWE-259,168,7.42,Frequente,0.003,65.48,125,238,CWE-259,CWE-259,Moderado/Baixo,False,3
CWE-822,163,7.58,Dupla Ameaca,0.003,82.82,127,175,CWE-822,CWE-822,Moderado/Baixo,False,1
CWE-256,177,6.58,Frequente,0.0028,36.72,122,482,CWE-256,CWE-256,Moderado/Baixo,False,3
CWE-131,153,7.58,Dupla Ameaca,0.0028,71.9,131,172,CWE-131,CWE-131,Moderado/Baixo,False,1
CWE-193,158,7.29,Frequente,0.0028,63.29,129,270,CWE-193,CWE-193,Moderado/Baixo,False,3
CWE-248,160,6.96,Frequente,0.0027,59.38,128,369,CWE-248,CWE-248,Moderado/Baixo,False,3
CWE-788,143,7.63,Dupla Ameaca,0.0027,90.91,134,161,CWE-788,CWE-788,Moderado/Baixo,False,1
CWE-459,175,6.23,Frequente,0.0026,36.57,123,575,CWE-459,CWE-459,Moderado/Baixo,False,3
CWE-749,138,7.85,Dupla Ameaca,0.0026,74.64,137,106,CWE-749,CWE-749,Moderado/Baixo,False,1
CWE-338,148,7.17,Frequente,0.0026,64.19,132,304,CWE-338,CWE-338,Moderado/Baixo,False,3
CWE-35,139,7.31,Frequente,0.0025,62.59,136,263,CWE-35,CWE-35,Moderado/Baixo,False,3
CWE-697,138,7.08,Frequente,0.0024,55.07,138,333,CWE-697,CWE-697,Moderado/Baixo,False,3
CWE-252,145,6.72,Frequente,0.0024,47.59,133,440,CWE-252,CWE-252,Moderado/Baixo,False,3
CWE-17,165,5.85,Frequente,0.0023,34.55,126,652,CWE-17,CWE-17,Moderado/Baixo,False,3
CWE-354,140,6.83,Frequente,0.0023,52.86,135,412,CWE-354,CWE-354,Moderado/Baixo,False,3
CWE-359,158,6.02,Frequente,0.0023,34.18,130,621,CWE-359,CWE-359,Moderado/Baixo,False,3
CWE-305,116,7.65,Dupla Ameaca,0.0022,68.97,142,159,CWE-305,CWE-305,Moderado/Baixo,False,1
CWE-91,111,7.68,Dupla Ameaca,0.0021,75.68,147,149,CWE-91,CWE-91,Moderado/Baixo,False,1
CWE-703,130,6.54,Frequente,0.0021,48.46,140,496,CWE-703,CWE-703,Moderado/Baixo,False,3
CWE-680,101,8.23,Dupla Ameaca,0.002,90.1,154,60,CWE-680,CWE-680,Moderado/Baixo,False,1
CWE-95,98,8.43,Dupla Ameaca,0.002,88.78,161,48,CWE-95,CWE-95,Moderado/Baixo,False,1
CWE-331,113,7.29,Frequente,0.002,61.06,145,271,CWE-331,CWE-331,Moderado/Baixo,False,3
CWE-682,115,6.97,Frequente,0.0019,58.26,144,365,CWE-682,CWE-682,Moderado/Baixo,False,3
CWE-1336,103,7.59,Dupla Ameaca,0.0019,71.84,152,169,CWE-1336,CWE-1336,Moderado/Baixo,False,1
CWE-280,120,6.42,Frequente,0.0019,47.5,141,527,CWE-280,CWE-280,Moderado/Baixo,False,3
CWE-670,112,6.85,Frequente,0.0019,57.14,146,404,CWE-670,CWE-670,Moderado/Baixo,False,3
CWE-451,138,5.53,Frequente,0.0019,13.77,139,691,CWE-451,CWE-451,Moderado/Baixo,False,3
CWE-457,110,6.85,Frequente,0.0018,60.91,148,409,CWE-457,CWE-457,Moderado/Baixo,False,3
CWE-681,100,7.48,Frequente,0.0018,72.0,158,221,CWE-681,CWE-681,Moderado/Baixo,False,3
CWE-1287,109,6.86,Frequente,0.0018,46.79,149,402,CWE-1287,CWE-1287,Moderado/Baixo,False,3
CWE-916,107,6.94,Frequente,0.0018,56.07,150,377,CWE-916,CWE-916,Moderado/Baixo,False,3
CWE-36,101,7.27,Frequente,0.0018,66.34,153,275,CWE-36,CWE-36,Moderado/Baixo,False,3
CWE-24,98,6.88,Frequente,0.0016,47.96,160,394,CWE-24,CWE-24,Moderado/Baixo,False,3
CWE-275,105,6.36,Frequente,0.0016,43.81,151,542,CWE-275,CWE-275,Moderado/Baixo,False,3
CWE-61,99,6.7,Frequente,0.0016,48.48,159,446,CWE-61,CWE-61,Moderado/Baixo,False,3
CWE-834,100,6.55,Frequente,0.0016,37.0,155,494,CWE-834,CWE-834,Moderado/Baixo,False,3
CWE-204,115,5.68,Frequente,0.0016,10.43,143,669,CWE-204,CWE-204,Moderado/Baixo,False,3
CWE-358,100,6.48,Frequente,0.0016,49.0,157,519,CWE-358,CWE-358,Moderado/Baixo,False,3
CWE-706,89,7.18,Frequente,0.0016,58.43,165,302,CWE-706,CWE-706,Moderado/Baixo,False,3
CWE-602,91,6.82,Frequente,0.0015,49.45,164,416,CWE-602,CWE-602,Moderado/Baixo,False,3
CWE-823,83,7.42,Frequente,0.0015,74.7,169,243,CWE-823,CWE-823,Moderado/Baixo,False,3
CWE-763,85,7.19,Frequente,0.0015,63.53,167,298,CWE-763,CWE-763,Moderado/Baixo,False,3
CWE-909,100,6.05,Frequente,0.0015,34.0,156,612,CWE-909,CWE-909,Moderado/Baixo,False,3
CWE-93,92,6.43,Frequente,0.0014,32.61,163,524,CWE-93,CWE-93,Moderado/Baixo,False,3
CWE-212,95,6.11,Frequente,0.0014,34.74,162,596,CWE-212,CWE-212,Moderado/Baixo,False,3
CWE-506,73,7.94,Dupla Ameaca,0.0014,95.89,177,88,CWE-506,CWE-506,Moderado/Baixo,False,1
CWE-1392,75,7.57,Dupla Ameaca,0.0014,70.67,175,179,CWE-1392,CWE-1392,Moderado/Baixo,False,1
CWE-913,73,7.72,Dupla Ameaca,0.0014,75.34,176,138,CWE-913,CWE-913,Moderado/Baixo,False,1
CWE-591,77,7.32,Frequente,0.0014,81.82,171,261,CWE-591,CWE-591,Moderado/Baixo,False,3
CWE-436,79,7.12,Frequente,0.0014,56.96,170,322,CWE-436,CWE-436,Moderado/Baixo,False,3
CWE-489,71,7.74,Dupla Ameaca,0.0013,67.61,179,135,CWE-489,CWE-489,Moderado/Baixo,False,1
CWE-303,70,7.7,Dupla Ameaca,0.0013,65.71,180,146,CWE-303,CWE-303,Moderado/Baixo,False,1
CWE-789,77,6.99,Frequente,0.0013,55.84,172,355,CWE-789,CWE-789,Moderado/Baixo,False,3
CWE-912,67,7.75,Dupla Ameaca,0.0013,67.16,186,129,CWE-912,CWE-912,Moderado/Baixo,False,1
CWE-620,67,7.75,Dupla Ameaca,0.0013,67.16,184,130,CWE-620,CWE-620,Moderado/Baixo,False,1
CWE-208,89,5.7,Frequente,0.0012,17.98,166,666,CWE-208,CWE-208,Moderado/Baixo,False,3
