pct_cwes_acumulado,pct_cves_acumulado,linha_igualdade
59.146,0.852,59.146
59.279,0.859,59.279
59.413,0.865,59.413
59.546,0.872,59.546
59.68,0.878,59.68
59.813,0.885,59.813
59.947,0.891,59.947
60.08,0.898,60.08
60.214,0.905,60.214
60.347,0.912,60.347
60.481,0.919,60.481
60.614,0.926,60.614
60.748,0.933,60.748
60.881,0.94,60.881
61.015,0.948,61.015
61.148,0.955,61.148
61.282,0.963,61.282
61.415,0.97,61.415
61.549,0.978,61.549
61.682,0.985,61.682
61.816,0.993,61.816
61.949,1.001,61.949
62.083,1.009,62.083
62.216,1.017,62.216
62.35,1.025,62.35
62.483,1.033,62.483
62.617,1.042,62.617
62.75,1.05,62.75
62.884,1.058,62.884
63.017,1.066,63.017
63.151,1.075,63.151
63.284,1.083,63.284
63.418,1.092,63.418
63.551,1.101,63.551
63.685,1.11,63.685
63.818,1.119,63.818
63.952,1.128,63.952
64.085,1.137,64.085
64.219,1.146,64.219
64.352,1.156,64.352
64.486,1.165,64.486
64.619,1.175,64.619
64.753,1.184,64.753
64.887,1.194,64.887
65.02,1.204,65.02
65.154,1.214,65.154
65.287,1.225,65.287
65.421,1.235,65.421
65.554,1.246,65.554
65.688,1.256,65.688
65.821,1.266,65.821
65.955,1.277,65.955
66.088,1.288,66.088
66.222,1.299,66.222
66.355,1.309,66.355
66.489,1.32,66.489
66.622,1.331,66.622
66.756,1.342,66.756
66.889,1.353,66.889
67.023,1.365,67.023
67.156,1.376,67.156
67.29,1.388,67.29
67.423,1.4,67.423
67.557,1.412,67.557
67.69,1.424,67.69
67.824,1.436,67.824
67.957,1.448,67.957
68.091,1.46,68.091
68.224,1.473,68.224
68.358,1.485,68.358
68.491,1.497,68.491
68.625,1.51,68.625
68.758,1.523,68.758
68.892,1.536,68.892
69.025,1.55,69.025
69.159,1.563,69.159
69.292,1.576,69.292
69.426,1.589,69.426
69.559,1.603,69.559
69.693,1.617,69.693
69.826,1.63,69.826
69.96,1.644,69.96
70.093,1.658,70.093
70.227,1.672,70.227
70.36,1.686,70.36
70.494,1.7,70.494
70.628,1.714,70.628
70.761,1.729,70.761
70.895,1.744,70.895
71.028,1.76,71.028
71.162,1.775,71.162
71.295,1.791,71.295
71.429,1.806,71.429
71.562,1.822,71.562
71.696,1.838,71.696
71.829,1.855,71.829
71.963,1.873,71.963
72.096,1.891,72.096
72.23,1.908,72.23
72.363,1.927,72.363
72.497,1.945,72.497
72.63,1.963,72.63
72.764,1.982,72.764
72.897,2.001,72.897
73.031,2.02,73.031
73.164,2.039,73.164
73.298,2.059,73.298
73.431,2.078,73.431
73.565,2.098,73.565
73.698,2.118,73.698
73.832,2.139,73.832
73.965,2.159,73.965
74.099,2.18,74.099
74.232,2.201,74.232
74.366,2.223,74.366
74.499,2.246,74.499
74.633,2.269,74.633
74.766,2.292,74.766
74.9,2.316,74.9
75.033,2.34,75.033
75.167,2.363,75.167
75.3,2.387,75.3
75.434,2.412,75.434
75.567,2.436,75.567
75.701,2.46,75.701
75.834,2.485,75.834
75.968,2.509,75.968
76.101,2.534,76.101
76.235,2.56,76.235
76.368,2.585,76.368
76.502,2.612,76.502
76.636,2.638,76.636
76.769,2.665,76.769
76.903,2.692,76.903
77.036,2.719,77.036
77.17,2.746,77.17
77.303,2.774,77.303
77.437,2.802,77.437
77.57,2.832,77.57
77.704,2.863,77.704
77.837,2.893,77.837
77.971,2.925,77.971
78.104,2.957,78.104
78.238,2.989,78.238
78.371,3.022,78.371
78.505,3.057,78.505
78.638,3.092,78.638
78.772,3.127,78.772
78.905,3.162,78.905
79.039,3.198,79.039
79.172,3.234,79.172
79.306,3.27,79.306
79.439,3.306,79.439
79.573,3.342,79.573
79.706,3.378,79.706
79.84,3.415,79.84
79.973,3.453,79.973
80.107,3.491,80.107
80.24,3.53,80.24
80.374,3.57,80.374
80.507,3.609,80.507
80.641,3.65,80.641
80.774,3.69,80.774
80.908,3.731,80.908
81.041,3.773,81.041
81.175,3.814,81.175
81.308,3.857,81.308
81.442,3.904,81.442
81.575,3.953,81.575
81.709,4.003,81.709
81.842,4.052,81.842
81.976,4.102,81.976
82.109,4.152,82.109
82.243,4.203,82.243
82.377,4.255,82.377
82.51,4.309,82.51
82.644,4.363,82.644
82.777,4.42,82.777
82.911,4.477,82.911
83.044,4.534,83.044
83.178,4.592,83.178
83.311,4.652,83.311
83.445,4.712,83.445
83.578,4.774,83.578
83.712,4.837,83.712
83.845,4.9,83.845
83.979,4.964,83.979
84.112,5.03,84.112
84.246,5.097,84.246
84.379,5.171,84.379
84.513,5.246,84.513
