cwe_id,cves_count,rank_freq,pct_acumulado,cwe_nome_curto,cwe_label,pct_do_total,in_pareto80,top30
CWE-425,208,118,94.9,CWE-425,CWE-425,0.075,False,False
CWE-294,187,119,94.97,CWE-294,CWE-294,0.067,False,False
CWE-829,184,120,95.04,CWE-829,CWE-829,0.066,False,False
CWE-494,177,121,95.1,CWE-494,CWE-494,0.063,False,False
CWE-256,177,122,95.16,CWE-256,CWE-256,0.063,False,False
CWE-459,175,123,95.23,CWE-459,CWE-459,0.063,False,False
CWE-917,173,124,95.29,CWE-917,CWE-917,0.062,False,False
CWE-259,168,125,95.35,CWE-259,CWE-259,0.06,False,False
CWE-17,165,126,95.41,CWE-17,CWE-17,0.059,False,False
CWE-822,163,127,95.47,CWE-822,CWE-822,0.058,False,False
CWE-248,160,128,95.52,CWE-248,CWE-248,0.057,False,False
CWE-193,158,129,95.58,CWE-193,CWE-193,0.057,False,False
CWE-359,158,130,95.64,CWE-359,CWE-359,0.057,False,False
CWE-131,153,131,95.69,CWE-131,CWE-131,0.055,False,False
CWE-338,148,132,95.74,CWE-338,CWE-338,0.053,False,False
CWE-252,145,133,95.8,CWE-252,CWE-252,0.052,False,False
CWE-788,143,134,95.85,CWE-788,CWE-788,0.051,False,False
CWE-354,140,135,95.9,CWE-354,CWE-354,0.05,False,False
CWE-35,139,136,95.95,CWE-35,CWE-35,0.05,False,False
CWE-749,138,137,96.0,CWE-749,CWE-749,0.049,False,False
CWE-697,138,138,96.05,CWE-697,CWE-697,0.049,False,False
CWE-451,138,139,96.1,CWE-451,CWE-451,0.049,False,False
CWE-703,130,140,96.14,CWE-703,CWE-703,0.047,False,False
CWE-280,120,141,96.19,CWE-280,CWE-280,0.043,False,False
CWE-305,116,142,96.23,CWE-305,CWE-305,0.042,False,False
CWE-204,115,143,96.27,CWE-204,CWE-204,0.041,False,False
CWE-682,115,144,96.31,CWE-682,CWE-682,0.041,False,False
CWE-331,113,145,96.35,CWE-331,CWE-331,0.041,False,False
CWE-670,112,146,96.39,CWE-670,CWE-670,0.04,False,False
CWE-91,111,147,96.43,CWE-91,CWE-91,0.04,False,False
CWE-457,110,148,96.47,CWE-457,CWE-457,0.039,False,False
CWE-1287,109,149,96.51,CWE-1287,CWE-1287,0.039,False,False
CWE-916,107,150,96.55,CWE-916,CWE-916,0.038,False,False
CWE-275,105,151,96.58,CWE-275,CWE-275,0.038,False,False
CWE-1336,103,152,96.62,CWE-1336,CWE-1336,0.037,False,False
CWE-36,101,153,96.66,CWE-36,CWE-36,0.036,False,False
CWE-680,101,154,96.69,CWE-680,CWE-680,0.036,False,False
CWE-834,100,155,96.73,CWE-834,CWE-834,0.036,False,False
CWE-909,100,156,96.77,CWE-909,CWE-909,0.036,False,False
CWE-358,100,157,96.8,CWE-358,CWE-358,0.036,False,False
CWE-681,100,158,96.84,CWE-681,CWE-681,0.036,False,False
